Disease,City,State,Date,Population_Affected,Number_of_Deaths,Survived,Doctors_Available,Hospitals_Available
Heat Stroke,Amritsar,Chandigarh,2025-02-01,1448,0,1448,99,6
Heat Stroke,Amritsar,Chandigarh,2025-03-01,1161,66,1095,78,3
Heat Stroke,Amritsar,Chandigarh,2025-04-01,3245,134,3111,44,4
Heat Stroke,Amritsar,Chandigarh,2025-05-01,2298,49,2249,146,5
Heat Stroke,Amritsar,Chandigarh,2025-06-01,3555,210,3345,149,2
Heat Stroke,Amritsar,Chandigarh,2025-07-01,3232,272,2960,57,6
Heat Stroke,Amritsar,Chandigarh,2025-08-01,2500,90,2410,95,7
Heat Stroke,Amritsar,Chandigarh,2025-09-01,1461,32,1429,108,5
Heat Stroke,Amritsar,Chandigarh,2025-10-01,565,31,534,14,9
Heat Stroke,Amritsar,Chandigarh,2025-11-01,1998,22,1976,35,7
Heat Stroke,Amritsar,Chandigarh,2025-12-01,3746,115,3631,172,5
Heat Stroke,Amritsar,Himachal Pradesh,2018-01-01,2885,247,2638,52,4
Heat Stroke,Amritsar,Himachal Pradesh,2018-02-01,926,48,878,170,10
Heat Stroke,Amritsar,Himachal Pradesh,2018-03-01,2830,0,2830,38,3
Heat Stroke,Amritsar,Himachal Pradesh,2018-04-01,3114,0,3114,140,4
Heat Stroke,Amritsar,Himachal Pradesh,2018-05-01,1412,77,1335,90,4
Heat Stroke,Amritsar,Himachal Pradesh,2018-06-01,2804,210,2594,98,6
Heat Stroke,Amritsar,Himachal Pradesh,2018-07-01,2675,8,2667,200,10
Heat Stroke,Amritsar,Himachal Pradesh,2018-08-01,1064,67,997,42,6
Heat Stroke,Amritsar,Himachal Pradesh,2018-09-01,3077,273,2804,137,4
Heat Stroke,Amritsar,Himachal Pradesh,2018-10-01,3350,351,2999,134,5
Heat Stroke,Amritsar,Himachal Pradesh,2018-11-01,4050,241,3809,200,1
Heat Stroke,Amritsar,Himachal Pradesh,2018-12-01,4011,259,3752,51,4
Heat Stroke,Amritsar,Himachal Pradesh,2019-01-01,749,0,749,74,10
Heat Stroke,Amritsar,Himachal Pradesh,2019-02-01,1339,148,1191,148,7
Heat Stroke,Amritsar,Himachal Pradesh,2019-03-01,3288,109,3179,96,8
Heat Stroke,Amritsar,Himachal Pradesh,2019-04-01,3287,75,3212,83,8
Heat Stroke,Amritsar,Himachal Pradesh,2019-05-01,3288,140,3148,155,3
Heat Stroke,Amritsar,Himachal Pradesh,2019-06-01,4989,442,4547,93,10
Heat Stroke,Amritsar,Himachal Pradesh,2019-07-01,3363,384,2979,61,1
Heat Stroke,Amritsar,Himachal Pradesh,2019-08-01,4121,221,3900,143,6
Heat Stroke,Amritsar,Himachal Pradesh,2019-09-01,3877,306,3571,125,1
Heat Stroke,Amritsar,Himachal Pradesh,2019-10-01,3471,178,3293,90,1
Heat Stroke,Amritsar,Himachal Pradesh,2019-11-01,2174,43,2131,88,8
Heat Stroke,Amritsar,Himachal Pradesh,2019-12-01,3616,336,3280,60,3
Heat Stroke,Amritsar,Himachal Pradesh,2020-01-01,1561,49,1512,143,8
Heat Stroke,Amritsar,Himachal Pradesh,2020-02-01,2280,216,2064,88,1
Heat Stroke,Amritsar,Himachal Pradesh,2020-03-01,1946,170,1776,67,5
Heat Stroke,Amritsar,Himachal Pradesh,2020-04-01,2707,183,2524,41,1
Heat Stroke,Amritsar,Himachal Pradesh,2020-05-01,4989,442,4547,126,4
Heat Stroke,Amritsar,Himachal Pradesh,2020-06-01,92,10,82,80,9
Heat Stroke,Amritsar,Himachal Pradesh,2020-07-01,3518,158,3360,11,10
Heat Stroke,Amritsar,Himachal Pradesh,2020-08-01,434,11,423,45,6
Heat Stroke,Amritsar,Himachal Pradesh,2020-09-01,1964,0,1964,94,1
Heat Stroke,Amritsar,Himachal Pradesh,2020-10-01,4058,442,3616,96,1
Heat Stroke,Amritsar,Himachal Pradesh,2020-11-01,2684,100,2584,94,5
Heat Stroke,Amritsar,Himachal Pradesh,2020-12-01,1152,95,1057,87,2
Heat Stroke,Amritsar,Himachal Pradesh,2021-01-01,1638,46,1592,31,7
Heat Stroke,Amritsar,Himachal Pradesh,2021-02-01,3509,332,3177,62,10
Heat Stroke,Amritsar,Himachal Pradesh,2021-03-01,1618,48,1570,167,2
Heat Stroke,Amritsar,Himachal Pradesh,2021-04-01,2888,44,2844,159,2
Heat Stroke,Amritsar,Himachal Pradesh,2021-05-01,2659,117,2542,136,1
Heat Stroke,Amritsar,Himachal Pradesh,2021-06-01,1723,59,1664,131,4
Heat Stroke,Amritsar,Himachal Pradesh,2021-07-01,4989,336,4653,152,5
Heat Stroke,Amritsar,Himachal Pradesh,2021-08-01,3448,167,3281,49,5
Heat Stroke,Amritsar,Himachal Pradesh,2021-09-01,78,0,78,108,7
Heat Stroke,Amritsar,Himachal Pradesh,2021-10-01,2848,118,2730,49,6
Heat Stroke,Amritsar,Himachal Pradesh,2021-11-01,1710,52,1658,50,5
Heat Stroke,Amritsar,Himachal Pradesh,2021-12-01,3741,123,3618,125,5
Heat Stroke,Amritsar,Himachal Pradesh,2022-01-01,1534,168,1366,154,5
Heat Stroke,Amritsar,Himachal Pradesh,2022-02-01,2443,138,2305,96,5
Heat Stroke,Amritsar,Himachal Pradesh,2022-03-01,3275,0,3275,190,3
Heat Stroke,Amritsar,Himachal Pradesh,2022-04-01,3759,131,3628,117,1
Heat Stroke,Amritsar,Himachal Pradesh,2022-05-01,987,52,935,67,5
Heat Stroke,Amritsar,Himachal Pradesh,2022-06-01,2149,223,1926,51,3
Heat Stroke,Amritsar,Himachal Pradesh,2022-07-01,1960,156,1804,158,6
Heat Stroke,Amritsar,Himachal Pradesh,2022-08-01,1721,40,1681,113,5
Heat Stroke,Amritsar,Himachal Pradesh,2022-09-01,4966,442,4524,141,5
Heat Stroke,Amritsar,Himachal Pradesh,2022-10-01,3141,154,2987,11,8
Heat Stroke,Amritsar,Himachal Pradesh,2022-11-01,906,78,828,119,1
Heat Stroke,Amritsar,Himachal Pradesh,2022-12-01,3829,63,3766,80,10
Heat Stroke,Amritsar,Himachal Pradesh,2023-01-01,4989,20,4969,35,1
Heat Stroke,Amritsar,Himachal Pradesh,2023-02-01,3982,36,3946,103,9
Heat Stroke,Amritsar,Himachal Pradesh,2023-03-01,559,0,559,162,5
Heat Stroke,Amritsar,Himachal Pradesh,2023-04-01,1948,217,1731,200,3
Heat Stroke,Amritsar,Himachal Pradesh,2023-05-01,4297,241,4056,119,1
Heat Stroke,Amritsar,Himachal Pradesh,2023-06-01,1648,38,1610,70,3
Heat Stroke,Amritsar,Himachal Pradesh,2023-07-01,3193,201,2992,67,4
Heat Stroke,Amritsar,Himachal Pradesh,2023-08-01,3637,202,3435,155,5
Heat Stroke,Amritsar,Himachal Pradesh,2023-09-01,1354,92,1262,55,9
Heat Stroke,Amritsar,Himachal Pradesh,2023-10-01,2518,214,2304,138,5
Heat Stroke,Amritsar,Himachal Pradesh,2023-11-01,78,0,78,121,6
Heat Stroke,Amritsar,Himachal Pradesh,2023-12-01,1223,29,1194,116,6
Heat Stroke,Amritsar,Himachal Pradesh,2024-01-01,2259,167,2092,26,4
Heat Stroke,Amritsar,Himachal Pradesh,2024-02-01,923,67,856,88,4
Heat Stroke,Amritsar,Himachal Pradesh,2024-03-01,4787,253,4534,32,5
Heat Stroke,Amritsar,Himachal Pradesh,2024-04-01,679,77,602,76,7
Heat Stroke,Amritsar,Himachal Pradesh,2024-05-01,2007,74,1933,153,2
Heat Stroke,Amritsar,Himachal Pradesh,2024-06-01,2773,66,2707,169,3
Heat Stroke,Amritsar,Himachal Pradesh,2024-07-01,4531,282,4249,117,6
Heat Stroke,Amritsar,Himachal Pradesh,2024-08-01,671,20,651,77,2
Heat Stroke,Amritsar,Himachal Pradesh,2024-09-01,4158,268,3890,187,5
Heat Stroke,Amritsar,Himachal Pradesh,2024-10-01,2611,67,2544,76,3
Heat Stroke,Amritsar,Himachal Pradesh,2024-11-01,1281,49,1232,48,6
Heat Stroke,Amritsar,Himachal Pradesh,2024-12-01,3217,338,2879,142,9
Heat Stroke,Amritsar,Himachal Pradesh,2025-01-01,2864,109,2755,130,3
Heat Stroke,Amritsar,Himachal Pradesh,2025-02-01,1792,48,1744,79,7
Heat Stroke,Amritsar,Himachal Pradesh,2025-03-01,2691,226,2465,111,5
Heat Stroke,Amritsar,Himachal Pradesh,2025-04-01,2081,40,2041,129,4
Heat Stroke,Amritsar,Himachal Pradesh,2025-05-01,2750,82,2668,117,5
Heat Stroke,Amritsar,Himachal Pradesh,2025-06-01,3486,233,3253,130,9
Heat Stroke,Amritsar,Himachal Pradesh,2025-07-01,4725,365,4360,80,4
Heat Stroke,Amritsar,Himachal Pradesh,2025-08-01,937,80,857,133,9
Heat Stroke,Amritsar,Himachal Pradesh,2025-09-01,4989,141,4848,107,4
Heat Stroke,Amritsar,Himachal Pradesh,2025-10-01,78,0,78,82,1
Heat Stroke,Amritsar,Himachal Pradesh,2025-11-01,2394,87,2307,94,4
Heat Stroke,Amritsar,Himachal Pradesh,2025-12-01,3387,109,3278,101,1
Heat Stroke,Amritsar,Jammu & Kashmir,2018-01-01,2974,253,2721,33,4
Heat Stroke,Amritsar,Jammu & Kashmir,2018-02-01,1762,60,1702,74,4
Heat Stroke,Amritsar,Jammu & Kashmir,2018-03-01,2318,134,2184,110,10
Heat Stroke,Amritsar,Jammu & Kashmir,2018-04-01,1936,105,1831,37,9
Heat Stroke,Amritsar,Jammu & Kashmir,2018-05-01,1807,34,1773,75,5
Heat Stroke,Amritsar,Jammu & Kashmir,2018-06-01,3737,292,3445,200,8
Heat Stroke,Amritsar,Jammu & Kashmir,2018-07-01,3076,204,2872,49,4
Heat Stroke,Amritsar,Jammu & Kashmir,2018-08-01,1668,0,1668,87,1
Heat Stroke,Amritsar,Jammu & Kashmir,2018-09-01,3804,221,3583,64,6
Heat Stroke,Amritsar,Jammu & Kashmir,2018-10-01,3010,82,2928,100,6
Heat Stroke,Amritsar,Jammu & Kashmir,2018-11-01,3688,302,3386,65,2
Heat Stroke,Amritsar,Jammu & Kashmir,2018-12-01,3442,27,3415,94,2
Heat Stroke,Amritsar,Jammu & Kashmir,2019-01-01,1485,58,1427,70,8
Heat Stroke,Amritsar,Jammu & Kashmir,2019-02-01,1846,111,1735,160,1
Heat Stroke,Amritsar,Jammu & Kashmir,2019-03-01,3600,185,3415,110,6
Heat Stroke,Amritsar,Jammu & Kashmir,2019-04-01,3416,246,3170,55,4
Heat Stroke,Amritsar,Jammu & Kashmir,2019-05-01,2569,15,2554,149,6
Heat Stroke,Amritsar,Jammu & Kashmir,2019-06-01,2755,270,2485,57,8
Heat Stroke,Amritsar,Jammu & Kashmir,2019-07-01,4311,281,4030,27,2
Heat Stroke,Amritsar,Jammu & Kashmir,2019-08-01,1804,161,1643,106,2
Heat Stroke,Amritsar,Jammu & Kashmir,2019-09-01,3331,251,3080,200,9
Heat Stroke,Amritsar,Jammu & Kashmir,2019-10-01,2326,115,2211,13,5
Heat Stroke,Amritsar,Jammu & Kashmir,2019-11-01,2305,29,2276,38,6
Heat Stroke,Amritsar,Jammu & Kashmir,2019-12-01,4071,137,3934,145,7
Heat Stroke,Amritsar,Jammu & Kashmir,2020-01-01,3705,356,3349,73,2
Heat Stroke,Amritsar,Jammu & Kashmir,2020-02-01,3689,333,3356,137,7
Heat Stroke,Amritsar,Jammu & Kashmir,2020-03-01,4349,139,4210,64,7
Heat Stroke,Amritsar,Jammu & Kashmir,2020-04-01,2626,0,2626,113,9
Heat Stroke,Amritsar,Jammu & Kashmir,2020-05-01,3512,154,3358,195,9
Heat Stroke,Amritsar,Jammu & Kashmir,2020-06-01,2181,90,2091,45,5
Heat Stroke,Amritsar,Jammu & Kashmir,2020-07-01,3032,129,2903,158,7
Heat Stroke,Amritsar,Jammu & Kashmir,2020-08-01,2423,158,2265,141,5
Heat Stroke,Amritsar,Jammu & Kashmir,2020-09-01,2728,206,2522,30,5
Heat Stroke,Amritsar,Jammu & Kashmir,2020-10-01,3396,267,3129,135,2
Heat Stroke,Amritsar,Jammu & Kashmir,2020-11-01,1500,94,1406,110,4
Heat Stroke,Amritsar,Jammu & Kashmir,2020-12-01,4989,20,4969,111,1
Heat Stroke,Amritsar,Jammu & Kashmir,2021-01-01,1248,50,1198,123,4
Heat Stroke,Amritsar,Jammu & Kashmir,2021-02-01,969,113,856,88,9
Heat Stroke,Amritsar,Jammu & Kashmir,2021-03-01,4151,253,3898,110,7
Heat Stroke,Amritsar,Jammu & Kashmir,2021-04-01,3659,222,3437,119,5
Heat Stroke,Amritsar,Jammu & Kashmir,2021-05-01,3435,207,3228,144,4
Heat Stroke,Amritsar,Jammu & Kashmir,2021-06-01,3440,213,3227,28,3
Heat Stroke,Amritsar,Jammu & Kashmir,2021-07-01,2581,0,2581,172,2
Heat Stroke,Amritsar,Jammu & Kashmir,2021-08-01,1394,60,1334,47,7
Heat Stroke,Amritsar,Jammu & Kashmir,2021-09-01,2699,132,2567,145,1
Heat Stroke,Amritsar,Jammu & Kashmir,2021-10-01,1689,147,1542,110,1
Heat Stroke,Amritsar,Jammu & Kashmir,2021-11-01,3906,200,3706,41,7
Heat Stroke,Amritsar,Jammu & Kashmir,2021-12-01,2400,5,2395,133,5
Heat Stroke,Amritsar,Jammu & Kashmir,2022-01-01,1490,93,1397,58,5
Heat Stroke,Amritsar,Jammu & Kashmir,2022-02-01,2166,57,2109,161,5
Heat Stroke,Amritsar,Jammu & Kashmir,2022-03-01,3151,46,3105,70,10
Heat Stroke,Amritsar,Jammu & Kashmir,2022-04-01,1841,47,1794,30,5
Heat Stroke,Amritsar,Jammu & Kashmir,2022-05-01,1494,98,1396,184,6
